Id,Time
1410233963865,4
1410233963869,4
1410233963872,3
1410233963876,3
1410233963880,4
1410233963883,3
1410233963888,3
1410233963891,4
1410233963895,4
1410233963899,4
1410233963903,3
1410233963908,3
1410233963928,21
1410233963932,3
1410233963936,4
1410233963940,4
1410233963944,4
1410233963947,3
1410233963951,4
1410233963955,4
1410233963959,4
1410233963963,4
1410233963966,3
1410233963970,3
1410233963974,4
1410233963978,4
1410233963981,3
1410233963985,3
1410233963989,3
1410233963993,4
1410233963998,5
1410233964003,5
1410233964006,3
1410233964010,3
1410233964014,3
1410233964018,4
1410233964022,4
1410233964026,4
1410233964030,4
1410233964033,3
1410233964037,3
1410233964041,4
1410233964044,3
1410233964048,3
1410233964052,4
1410233964056,4
1410233964060,4
1410233964064,4
1410233964067,3
1410233964088,20
1410233964092,4
1410233964095,3
1410233964099,4
1410233964103,4
1410233964106,3
1410233964111,3
1410233964115,4
1410233964119,4
1410233964123,4
1410233964127,4
1410233964131,4
1410233964134,3
1410233964139,4
1410233964156,19
1410233964160,4
1410233964164,4
1410233964167,3
1410233964171,4
1410233964175,3
1410233964179,4
1410233964183,4
1410233964187,4
1410233964190,3
1410233964194,3
1410233964198,4
1410233964202,4
1410233964206,4
1410233964210,4
1410233964213,3
1410233964217,3
1410233964221,4
1410233964225,4
1410233964228,3
1410233964232,3
1410233964236,4
1410233964240,4
1410233964244,4
1410233964267,23
1410233964271,4
1410233964274,3
1410233964279,4
1410233964282,3
1410233964286,3
1410233964290,3
1410233964295,5
1410233964299,4
1410233964303,4
1410233964307,3
1410233964311,4
1410233964315,4
1410233964319,4
1410233964323,4
1410233964327,4
1410233964330,3
1410233964334,3
1410233964338,4
1410233964342,4
1410233964346,4
1410233964350,4
1410233964354,4
1410233964357,3
1410233964362,3
1410233964364,3
1410233964368,3
1410233964371,3
1410233964375,3
1410233964378,3
1410233964382,3
1410233964386,3
1410233964390,4
1410233964394,4
1410233964398,4
1410233964401,3
1410233964405,4
1410233964409,4
1410233964413,4
1410233964417,4
1410233964421,4
1410233964425,4
1410233964428,3
1410233964432,3
1410233964450,18
1410233964452,17
1410233964462,9
1410233964466,4
1410233964470,4
1410233964474,4
1410233964477,3
1410233964482,3
1410233964485,4
1410233964489,4
1410233964493,4
1410233964510,17
1410233964515,5
1410233964519,4
1410233964523,4
1410233964528,4
1410233964531,3
1410233964535,3
1410233964539,3
1410233964543,4
1410233964547,4
1410233964550,3
1410233964554,3
1410233964558,4
1410233964562,4
1410233964566,4
1410233964569,3
1410233964573,3
1410233964576,3
1410233964580,4
1410233964584,4
1410233964596,12
1410233964600,4
1410233964614,15
1410233964618,3
1410233964621,3
1410233964626,3
1410233964628,3
1410233964632,3
1410233964636,3
1410233964640,4
1410233964644,4
1410233964648,4
1410233964658,10
1410233964662,4
1410233964667,4
1410233964671,4
1410233964674,3
1410233964678,3
1410233964682,4
1410233964686,4
1410233964690,4
1410233964693,3
1410233964697,4
1410233964701,4
1410233964705,4
1410233964709,4
1410233964712,3
1410233964716,3
1410233964719,4
1410233964723,4
1410233964729,5
1410233964733,3
1410233964737,3
1410233964740,4
1410233964744,3
1410233964747,3
1410233964752,4
1410233964755,4
1410233964762,7
1410233964765,3
1410233964770,4
1410233964772,3
1410233964777,3
1410233964780,4
1410233964785,5
1410233964788,3
1410233964792,4
1410233964796,4
1410233964799,3
1410233964803,3
1410233964808,3
1410233964812,5
1410233964816,3
1410233964819,4
1410233964823,4
1410233964848,25
1410233964851,3
1410233964855,3
1410233964859,4
1410233964863,4
1410233964867,4
1410233964871,4
1410233964874,3
1410233964878,3
1410233964882,4
1410233964910,27
1410233964915,5
1410233964919,4
1410233964924,5
1410233964932,8
1410233964936,4
1410233964940,4
1410233964944,4
1410233964947,3
1410233964964,16
1410233964969,4
1410233964974,4
1410233964978,4
1410233964982,4
1410233964986,4
1410233964990,4
1410233964994,4
1410233964997,3
1410233965001,3
1410233965005,4
1410233965008,3
1410233965013,3
1410233965016,4
1410233965020,4
1410233965023,3
1410233965027,4
1410233965032,4
1410233965036,4
1410233965040,3
1410233965043,3
1410233965054,10
1410233965058,4
1410233965061,3
1410233965065,3
1410233965069,3
1410233965074,4
1410233965077,4
1410233965090,13
1410233965094,4
1410233965099,4
1410233965103,4
1410233965107,4
1410233965111,3
1410233965115,5
1410233965118,3
1410233965122,3
1410233965126,4
1410233965130,4
1410233965134,4
1410233965138,3
1410233965142,3
1410233965146,4
1410233965150,4
1410233965154,4
1410233965157,3
1410233965161,4
1410233965165,4
1410233965169,4
1410233965172,3
1410233965176,3
1410233965180,3
1410233965186,4
1410233965189,5
1410233965192,3
1410233965196,3
1410233965200,3
1410233965204,4
1410233965208,4
1410233965222,14
1410233965226,4
1410233965230,4
1410233965233,3
1410233965237,3
1410233965240,4
1410233965244,3
1410233965265,21
1410233965269,4
1410233965273,4
1410233965277,4
1410233965280,3
1410233965284,3
1410233965288,3
1410233965292,4
1410233965296,4
1410233965299,3
1410233965304,3
1410233965308,5
1410233965311,3
1410233965316,4
1410233965319,5
1410233965323,4
1410233965326,3
1410233965330,3
1410233965334,3
1410233965339,5
1410233965343,4
1410233965347,4
1410233965351,4
1410233965355,3
1410233965359,4
1410233965363,4
1410233965367,4
1410233965371,4
1410233965375,3
1410233965379,3
1410233965383,3
1410233965387,4
1410233965391,4
1410233965395,4
1410233965399,4
1410233965403,4
1410233965420,17
1410233965424,3
1410233965428,3
1410233965432,3
1410233965436,4
1410233965440,4
1410233965444,4
1410233965448,4
1410233965452,4
1410233965456,4
1410233965459,3
1410233965463,4
1410233965467,4
1410233965471,4
1410233965475,4
1410233965479,4
1410233965483,4
1410233965487,4
1410233965491,4
1410233965495,4
1410233965506,11
1410233965511,4
1410233965514,4
1410233965517,3
1410233965523,4
1410233965526,4
1410233965530,3
1410233965533,4
1410233965537,4
1410233965541,4
1410233965546,4
1410233965550,4
1410233965554,4
1410233965558,4
1410233965562,4
1410233965565,3
1410233965569,3
1410233965573,4
1410233965577,4
1410233965580,3
1410233965584,3
1410233965587,4
1410233965591,3
1410233965594,4
1410233965599,3
1410233965602,4
1410233965633,30
1410233965637,32
1410233965640,3
1410233965644,3
1410233965648,4
1410233965652,4
1410233965656,4
1410233965659,3
1410233965663,3
1410233965667,4
1410233965671,4
1410233965675,4
1410233965679,4
1410233965683,4
1410233965687,4
1410233965691,4
1410233965695,4
1410233965699,4
1410233965704,4
1410233965708,4
1410233965712,4
1410233965716,3
1410233965720,4
1410233965724,4
1410233965728,4
1410233965732,4
1410233965736,3
1410233965739,4
1410233965745,4
1410233965747,4
1410233965752,3
1410233965755,4
1410233965759,3
1410233965763,4
1410233965767,4
1410233965771,4
1410233965775,4
1410233965778,3
1410233965782,3
1410233965786,4
1410233965790,4
1410233965794,4
1410233965798,4
1410233965802,4
1410233965805,3
1410233965809,3
1410233965813,3
1410233965817,4
1410233965821,4
1410233965825,4
1410233965829,4
1410233965832,3
1410233965836,3
1410233965840,4
1410233965844,3
1410233965847,4
1410233965851,3
1410233965855,4
1410233965859,4
1410233965863,4
1410233965866,3
1410233965870,3
1410233965874,4
1410233965878,4
1410233965882,3
1410233965900,18
1410233965904,4
1410233965908,4
1410233965911,3
1410233965916,4
1410233965920,4
1410233965925,5
1410233965929,4
1410233965933,4
1410233965948,15
1410233965953,5
1410233965957,4
1410233965961,3
1410233965967,4
1410233965969,4
1410233965974,4
1410233965977,4
1410233965980,3
1410233965984,3
1410233965991,7
1410233965995,4
1410233965999,4
1410233966003,4
1410233966007,4
1410233966011,4
1410233966029,18
1410233966033,4
1410233966037,4
1410233966040,3
1410233966044,3
1410233966048,3
1410233966052,4
1410233966056,4
1410233966060,4
1410233966064,4
1410233966068,4
1410233966072,4
1410233966076,4
1410233966079,3
1410233966083,3
1410233966087,4
1410233966091,4
1410233966094,3
1410233966098,3
1410233966102,3
1410233966106,4
1410233966110,4
1410233966113,3
1410233966117,3
1410233966121,4
1410233966125,4
1410233966129,4
1410233966133,4
1410233966136,3
1410233966140,4
1410233966144,4
1410233966148,4
1410233966152,4
1410233966156,4
1410233966160,4
1410233966164,4
1410233966167,3
1410233966182,14
1410233966193,10
1410233966197,4
1410233966201,3
1410233966205,4
1410233966209,3
1410233966212,4
1410233966216,3
1410233966220,5
1410233966234,14
1410233966239,4
1410233966244,5
1410233966248,4
1410233966252,4
1410233966256,4
1410233966259,3
1410233966263,3
1410233966267,4
1410233966271,4
1410233966275,4
1410233966278,3
1410233966282,3
1410233966286,4
1410233966290,4
1410233966294,4
1410233966297,3
1410233966301,4
1410233966305,4
1410233966309,4
1410233966313,4
1410233966316,3
1410233966320,3
1410233966324,4
1410233966328,4
1410233966331,3
1410233966335,3
1410233966339,4
1410233966343,4
1410233966347,4
1410233966351,4
1410233966354,3
1410233966358,3
1410233966362,4
1410233966366,3
1410233966370,4
1410233966374,4
1410233966378,4
1410233966395,17
1410233966399,4
1410233966422,23
1410233966427,4
1410233966431,3
1410233966437,4
1410233966448,12
1410233966454,6
1410233966459,5
1410233966463,4
1410233966469,5
1410233966474,5
1410233966477,3
1410233966481,3
1410233966485,4
1410233966490,4
1410233966494,4
1410233966498,4
1410233966503,5
1410233966508,5
1410233966511,3
1410233966515,3
1410233966519,5
1410233966522,3
1410233966526,3
1410233966530,3
1410233966534,4
1410233966538,4
1410233966542,4
1410233966545,3
1410233966550,3
1410233966553,4
1410233966557,4
1410233966561,4
1410233966564,3
1410233966568,4
1410233966572,3
1410233966576,4
1410233966580,4
1410233966584,4
1410233966587,3
1410233966591,3
1410233966595,4
1410233966599,4
1410233966618,19
1410233966623,5
1410233966627,4
1410233966635,7
1410233966640,5
1410233966650,10
1410233966654,4
1410233966658,4
1410233966664,6
1410233966668,4
1410233966672,3
1410233966676,4
1410233966686,10
1410233966690,4
1410233966693,3
1410233966698,4
1410233966701,3
1410233966705,3
1410233966709,4
1410233966711,3
1410233966716,3
1410233966719,4
1410233966722,3
1410233966726,3
1410233966730,3
1410233966734,3
1410233966737,4
1410233966741,4
1410233966745,4
1410233966749,4
1410233966752,3
1410233966756,3
1410233966760,4
1410233966764,4
1410233966768,4
1410233966772,4
1410233966776,4
1410233966780,4
1410233966784,4
1410233966788,4
1410233966791,3
1410233966795,3
1410233966799,4
1410233966803,4
1410233966806,3
1410233966810,3
1410233966814,4
1410233966818,4
1410233966822,4
1410233966825,3
1410233966842,16
1410233966845,17
1410233966848,3
1410233966853,3
1410233966859,7
1410233966862,3
1410233966866,4
1410233966889,23
1410233966894,5
1410233966898,4
1410233966903,4
1410233966908,3
1410233966911,4
1410233966915,4
1410233966919,4
1410233966923,4
1410233966927,4
1410233966931,4
1410233966935,4
1410233966938,3
1410233966942,4
1410233966946,4
1410233966950,4
1410233966954,4
1410233966957,3
1410233966961,4
1410233966965,4
1410233966969,4
1410233966973,4
1410233966977,4
1410233966981,4
1410233966985,4
1410233966989,4
1410233966992,3
1410233966996,3
1410233967000,3
1410233967004,4
1410233967008,4
1410233967012,4
1410233967015,3
1410233967019,4
1410233967023,4
1410233967026,3
1410233967031,4
1410233967035,4
1410233967039,4
1410233967043,3
1410233967047,4
1410233967051,4
1410233967054,3
1410233967058,3
1410233967062,4
1410233967066,4
1410233967069,3
1410233967073,3
1410233967077,4
1410233967081,4
1410233967085,4
1410233967089,4
1410233967093,4
1410233967096,4
1410233967100,4
1410233967104,4
1410233967108,4
1410233967125,17
